time;position;velocity;reward;puff;CTRL;Cloud;Switch_ID;teleport;port_A;port_B;port_C;Trigger;optoport;Systime;Keyboard;
0,57;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.0247230;NONE;
0,58;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.0318698;NONE;
0,59;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.0389915;NONE;
0,6;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.0531616;NONE;
0,61;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.0597903;NONE;
0,62;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.0732205;NONE;
0,63;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.0804981;NONE;
0,64;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.0969575;NONE;
0,65;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.1068875;NONE;
0,66;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.1169380;NONE;
0,67;-865,63;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.1264914;NONE;
0,68;-865,63;3;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.1355387;NONE;
0,69;-865,27;9;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.1451746;NONE;
0,7;-864,19;15;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.1553049;NONE;
0,71;-862,39;88;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.1750559;NONE;
0,72;-851,83;153;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.1854548;NONE;
0,73;-833,47;188;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.1949733;NONE;
0,74;-810,91;90;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2052788;NONE;
0,75;-800,11;159;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2153523;NONE;
0,76;-781,03;54;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2248360;NONE;
0,77;-774,55;67;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2349207;NONE;
0,78;-766,5101;49;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2440337;NONE;
0,79;-760,6301;14;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2534845;NONE;
0,8;-758,9501;15;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2635377;NONE;
0,81;-757,1501;4;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2732170;NONE;
0,82;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2827584;NONE;
0,83;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.2918102;NONE;
0,84;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3019965;NONE;
0,85;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3107177;NONE;
0,86;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3201068;NONE;
0,87;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3300676;NONE;
0,88;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3396344;NONE;
0,89;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3497678;NONE;
0,9;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3592333;NONE;
0,91;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3684228;NONE;
0,92;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3782446;NONE;
0,93;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3869955;NONE;
0,94;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.3971492;NONE;
0,95;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.4068848;NONE;
0,96;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.4163206;NONE;
0,97;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.4254193;NONE;
0,98;-756,6701;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.4444287;NONE;
0,9899999;-756,6701;1;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.4545345;NONE;
1;-756,5501;2;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.4641230;NONE;
1,01;-756,3101;16;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.4732988;NONE;
1,02;-754,3901;23;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.4830310;NONE;
1,03;-751,6301;63;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.4929105;NONE;
1,04;-744,0701;100;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5029308;NONE;
1,05;-732,0701;125;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5134023;NONE;
1,06;-717,0701;88;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5229134;NONE;
1,07;-706,5101;192;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5339742;NONE;
1,08;-683,4702;161;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5436036;NONE;
1,09;-664,1501;61;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5534146;NONE;
1,1;-656,8301;112;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5629124;NONE;
1,11;-643,3901;90;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5727305;NONE;
1,12;-632,5901;84;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5825896;NONE;
1,13;-622,5101;78;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.5916807;NONE;
1,14;-613,1501;60;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6017493;NONE;
1,15;-605,9501;45;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6115679;NONE;
1,16;-600,5501;35;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6211020;NONE;
1,17;-596,3501;14;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6307462;NONE;
1,18;-594,6701;1;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6402388;NONE;
1,19;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6494449;NONE;
1,2;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6592856;NONE;
1,21;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6693345;NONE;
1,22;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6784069;NONE;
1,23;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6870544;NONE;
1,24;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.6970205;NONE;
1,25;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.7075414;NONE;
1,26;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.7166336;NONE;
